new AudioKit 22
dioKit/Engine/AKAudioUnitRenderCallback.h 0.0000000000 930.3944315545 158.3333333333 69.6055684455
iftOSXProofOfConcept/SwiftOSXProofOfConcept/AKAudioUnitRenderCallback.m 583.3333333333 930.3944315545 241.6666666667 69.6055684455
iftOSXProofOfConcept/SwiftOSXProofOfConcept/SwiftOSXProofOfConcept-Bridging-Header.h 825.0000000000 930.3944315545 100.0000000000 69.6055684455
ravis.yml 925.0000000000 930.3944315545 75.0000000000 69.6055684455
sts/OSXAudioKit/OSXAudioKit/AKAudioUnitRenderCallback.m 158.3333333333 930.3944315545 241.6666666667 69.6055684455
sts/OSXAudioKit/OSXAudioKitTests/OSXAudioKit-Bridging-Header.h 400.0000000000 930.3944315545 50.0000000000 69.6055684455
sts/OSXAudioKit/OSXAudioKitTests/OSXAudioKitTests-Bridging-Header.h 450.0000000000 930.3944315545 66.6666666667 69.6055684455
sts/travis.sh 516.6666666667 930.3944315545 66.6666666667 69.6055684455
veloperTools/data2yaml.lua 939.5261845387 0.0000000000 60.4738154613 930.3944315545
veloperTools/yaml/allpass.yaml 360.3491271820 788.1495041058 142.7230094883 142.2449274487
veloperTools/yaml/atone.yaml 792.2043395253 0.0000000000 147.3218450134 102.3691123007
veloperTools/yaml/bal.yaml 692.7177794151 650.7219382000 150.2312031187 108.1086949102
veloperTools/yaml/butbp.yaml 503.0721366704 832.5198658637 189.6456427447 97.8745656908
veloperTools/yaml/butbr.yaml 604.2729320562 0.0000000000 109.9374895208 168.8367180268
veloperTools/yaml/buthp.yaml 714.2104215770 0.0000000000 77.9939179483 200.8009510513
veloperTools/yaml/butlp.yaml 692.7177794151 401.6019021027 125.7325837422 124.5600180487
veloperTools/yaml/clip.yaml 200.4188965788 532.5999747362 159.9302306033 145.0748620881
veloperTools/yaml/comb.yaml 216.8202375417 201.2098684158 143.5288896403 189.9421157845
veloperTools/yaml/dcblock.yaml 842.9489825338 650.7219382000 96.5772020049 108.1086949102
veloperTools/yaml/decimator.yaml 714.2104215770 200.8009510513 89.5485724591 200.8009510513
veloperTools/yaml/delay.yaml 503.0721366704 731.5867199951 189.6456427447 100.9331458686
veloperTools/yaml/dist.yaml 200.4188965788 391.1519842003 159.9302306033 141.4479905359
veloperTools/yaml/drip.yaml 0.0000000000 677.6748368243 151.4843464587 252.7195947302
veloperTools/yaml/eqfil.yaml 245.0374064838 0.0000000000 115.3117206983 201.2098684158
veloperTools/yaml/fofilt.yaml 360.3491271820 0.0000000000 123.6796757109 168.8367180268
veloperTools/yaml/fosc.yaml 0.0000000000 201.2098684158 216.8202375417 189.9421157845
veloperTools/yaml/gbuzz.yaml 0.0000000000 391.1519842003 200.4188965788 162.0735327974
veloperTools/yaml/jcrev.yaml 792.2043395253 102.3691123007 147.3218450134 98.4318387507
veloperTools/yaml/jitter.yaml 360.3491271820 401.6019021027 177.4298820191 117.6897053417
veloperTools/yaml/lpf18.yaml 360.3491271820 289.8746137463 186.8985709832 111.7272883564
veloperTools/yaml/metro.yaml 784.0030799402 855.8014757091 155.5231045984 74.5929558454
veloperTools/yaml/mode.yaml 503.0721366704 633.7121543043 189.6456427447 97.8745656908
veloperTools/yaml/moogladder.yaml 537.7790092012 517.6570282035 154.9387702139 116.0551261008
veloperTools/yaml/noise.yaml 803.7589940361 320.4270495500 135.7671905025 81.1748525527
veloperTools/yaml/osc.yaml 360.3491271820 168.8367180268 186.8985709832 121.0378957194
veloperTools/yaml/panst.yaml 484.0288028929 0.0000000000 120.2441291633 168.8367180268
veloperTools/yaml/pareq-high2.yaml 151.4843464587 677.6748368243 208.8647807234 119.4169513560
veloperTools/yaml/pareq-low1.yaml 0.0000000000 0.0000000000 123.9600997506 201.2098684158
veloperTools/yaml/pareq-peaking0.yaml 0.0000000000 553.2255169977 200.4188965788 124.4493198266
veloperTools/yaml/phasor.yaml 818.4503631573 401.6019021027 121.0758213814 124.5600180487
veloperTools/yaml/port.yaml 692.7177794151 758.8306331101 91.2853005252 171.5637984444
veloperTools/yaml/randi.yaml 360.3491271820 633.7121543043 142.7230094883 154.4373498015
veloperTools/yaml/random.yaml 823.1071255181 526.1619201513 116.4190590205 124.5600180487
veloperTools/yaml/reverse.yaml 803.7589940361 200.8009510513 135.7671905025 119.6260984987
veloperTools/yaml/revsc.yaml 360.3491271820 519.2916074443 177.4298820191 114.4205468600
veloperTools/yaml/rms.yaml 692.7177794151 526.1619201513 130.3893461030 124.5600180487
veloperTools/yaml/scale.yaml 123.9600997506 0.0000000000 121.0773067332 201.2098684158
veloperTools/yaml/streson.yaml 537.7790092012 401.6019021027 154.9387702139 116.0551261008
veloperTools/yaml/tenv.yaml 151.4843464587 797.0917881803 208.8647807234 133.3026433742
veloperTools/yaml/tenv2.yaml 547.2476981653 168.8367180268 166.9627234117 118.1196456504
veloperTools/yaml/tone.yaml 784.0030799402 758.8306331101 155.5231045984 96.9708425990
veloperTools/yaml/vdelay.yaml 547.2476981653 286.9563636772 166.9627234117 114.6455384254

dioKit/AudioKit/AudioKit.h 0.0000000000 112.8479893946 280.9289583463 9.2411667771
dioKit/AudioKit/Internals/AKBufferedAudioBus.hpp 0.0000000000 122.0891561717 89.5163460493 58.0030680693
dioKit/AudioKit/Internals/AKDSPKernel.hpp 89.5163460493 122.0891561717 34.2828559338 58.0030680693
dioKit/AudioKit/Internals/AKDSPKernel.mm 123.7992019831 122.0891561717 72.3749180824 58.0030680693
dioKit/AudioKit/Internals/AKParameterRamper.hpp 196.1741200656 122.0891561717 84.7548382807 58.0030680693
