new hiv 25
Afghanistan 0.0000000000 0.0000000000 23.8382349097 2.5993735159
Algeria 23.8382349097 0.0000000000 22.3483452279 2.5993735159
Angola 0.0000000000 2.5993735159 46.1865801376 92.8227897448
Argentina 0.0000000000 95.4221632607 46.0228191247 36.6890168065
Armenia 46.0228191247 95.4221632607 0.1637610128 0.7307532676
Azerbaijan 46.0228191247 96.1529165283 0.1637610128 3.3581541746
Bangladesh 46.0228191247 99.5110707029 0.1637610128 8.3386279012
Belarus 46.0228191247 107.8496986041 0.1637610128 23.6489730608
Belize 46.0228191247 131.4986716649 0.1637610128 0.6125084023
Benin 0.0000000000 132.1111800671 46.1865801376 46.8725740446
Bolivia (Plurinational State of) 0.0000000000 178.9837541117 46.1865801376 0.7546568272
Botswana 0.0000000000 179.7384109389 46.1865801376 78.7358623039
Burkina Faso 46.1865801376 0.0000000000 186.0317978763 122.8876961141
Burundi 232.2183780138 0.0000000000 97.4509353566 36.1514461449
Cambodia 231.7425933645 122.8876961141 0.4757846493 135.5865771287
Cameroon 46.7303340225 122.8876961141 185.0122593420 135.5865771287
Cape Verde 46.1865801376 122.8876961141 0.5437538849 135.5865771287
Central African Republic 232.2183780138 36.1514461449 97.4509353566 69.8014178173
Chad 232.2183780138 105.9528639622 60.4059715670 88.3397423333
Chile 292.6243495809 105.9528639622 37.0449637895 63.4603863292
Colombia 292.6243495809 169.4132502914 37.0449637895 24.8793560041
Congo 232.2183780138 194.2926062954 97.4509353566 61.4060582860
Costa Rica 232.2183780138 255.6986645814 78.2013678787 2.7756086614
Cuba 310.4197458926 255.6986645814 19.2495674778 2.7756086614
Côte d'Ivoire 329.6693133704 0.0000000000 95.2484003785 258.4742732428
Democratic Republic of the Congo 0.0000000000 258.4742732428 269.0119994138 238.5756273482
Denmark 0.0000000000 497.0499005910 15.3621887149 66.4173709403
Djibouti 422.2711661290 485.4446434367 2.6465476199 11.6052571543
Dominican Republic 349.3708089631 485.4446434367 72.9003571659 11.6052571543
Ecuador 336.1380708636 485.4446434367 13.2327380994 11.6052571543
Egypt 334.4539041964 485.4446434367 1.6841666672 11.6052571543
El Salvador 297.8834279944 485.4446434367 36.5704762021 11.6052571543
Equatorial Guinea 296.6804518035 485.4446434367 1.2029761909 11.6052571543
Eritrea 269.0119994138 485.4446434367 27.6684523897 11.6052571543
Ethiopia 269.0119994138 331.1735244134 155.9057143351 154.2711190233
Fiji 416.8794508916 331.0724774393 8.0382628573 0.1010469742
Gabon 416.8794508916 265.0741099879 8.0382628573 65.9983674514
Gambia 417.7255838240 258.4742732428 7.1921299249 6.5998367451
Georgia 416.8794508916 258.4742732428 0.8461329323 6.5998367451
Ghana 269.0119994138 258.4742732428 147.8674514778 72.6992511707
Guatemala 0.0000000000 563.4672715313 15.3621887149 1.9975149155
Guinea 15.3621887149 497.0499005910 60.3274272161 68.4148858558
Guinea-Bissau 75.6896159309 497.0499005910 4.6441129945 67.7273704514
Guyana 75.6896159309 564.7772710424 4.6441129945 0.6875154044
Haiti 80.3337289255 497.0499005910 237.6093276410 68.4148858558
Honduras 317.9430565665 497.0499005910 80.9598558550 68.4148858558
Indonesia 398.9029124215 497.0499005910 0.6049953797 12.6803452233
Iran (Islamic Republic of) 399.5079078012 497.0499005910 20.5698429100 12.6803452233
Ireland 420.0777507112 497.0499005910 4.8399630377 12.6803452233
Jamaica 398.9029124215 509.7302458143 26.0148013274 51.9009478906
Kazakhstan 398.9029124215 561.6311937049 26.0148013274 3.8335927419
Kenya 424.9177137489 0.0000000000 243.8530726279 284.9319932501
Kyrgyzstan 668.7707863767 0.0000000000 3.7222588845 4.3870313920
Lao People's Democratic Republic 668.7656527359 565.2800808120 0.0051336408 0.1847056348
Lebanon 424.9177137489 565.2800808120 243.8479389870 0.1847056348
Lesotho 663.3902863226 414.6023403491 5.3805000541 56.3940081265
Liberia 663.3902863226 470.9963484755 5.3805000541 55.0722735610
Madagascar 663.3902863226 526.0686220365 5.3805000541 39.2114587754
Malawi 424.9177137489 414.6023403491 238.4725725737 150.6777404629
Malaysia 629.5758701376 412.7879231789 39.1949162392 1.8144171702
Mali 629.5758701376 287.5326578607 39.1949162392 125.2552653181
Mauritania 634.1334185375 284.9319932501 34.6373678393 2.6006646107
Mauritius 629.5758701376 284.9319932501 4.5575483999 2.6006646107
Mexico 424.9177137489 284.9319932501 204.6581563887 129.6703470990
Morocco 672.4930452613 0.0000000000 96.7787309980 4.3870313920
Mozambique 668.7707863767 4.3870313920 100.5009898825 416.9304648852
Myanmar 668.7707863767 421.3174962772 12.2572374500 87.9282952942
Namibia 681.0280238267 421.3174962772 46.8003611727 87.9282952942
Nepal 727.8283849994 421.3174962772 41.4433912599 0.0610736294
Nicaragua 727.8283849994 421.3785699066 41.4433912599 87.8672216648
Niger 668.7707863767 509.2457915714 100.5009898825 56.2189948754
Nigeria 769.2717762593 0.0000000000 224.9135556791 394.5210419423
Norway 989.5636531660 551.1275691658 4.6216787724 14.3372172810
Oman 989.5636531660 520.2474088682 4.6216787724 30.8801602976
Pakistan 989.5636531660 495.9844257772 4.6216787724 24.2629830910
Panama 989.5636531660 423.1954765043 4.6216787724 72.7889492729
Papua New Guinea 989.5636531660 402.2410820167 4.6216787724 20.9543944877
Paraguay 832.3359537531 490.0918962186 2.8320203175 75.3728902282
Peru 835.1679740706 490.0918962186 154.2439637212 75.3728902282
Philippines 989.4119377918 490.0918962186 0.1517153742 75.3728902282
Republic of Moldova 989.5636531660 394.5210419423 4.6216787724 7.7200400744
Rwanda 832.3359537531 394.5210419423 157.2276994128 95.5708542763
Sao Tome and Principe 831.7643751052 545.1380310949 0.5715786480 20.3267553519
Senegal 769.2717762593 545.1380310949 62.4925988459 20.3267553519
Sierra Leone 827.7817064216 487.6188096565 4.5542473316 4.2518329580
Slovakia 827.7817064216 491.8706426144 1.4526662449 0.5446598019
Slovenia 829.2343726664 491.8706426144 3.1015810867 0.5446598019
Somalia 827.7817064216 492.4153024163 4.5542473316 52.7227286786
