new hiv 25
Afghanistan 847.9517792354 863.3305276697 34.0406464398 1.8203084539
Algeria 847.9517792354 865.1508361236 68.0812928797 0.8532695878
Angola 950.9933651641 669.9858427683 22.4279150238 191.1531773053
Argentina 587.7360154299 970.0501100334 379.7981617566 4.4458666586
Armenia 999.9455571848 984.9051915064 0.0145728176 8.2117884234
Azerbaijan 998.9355014690 968.7817488871 1.0100557158 0.5444597959
Bangladesh 999.9642377875 924.5970923506 0.0357622125 38.1839392392
Belarus 999.7084243671 893.3081014313 0.2915756329 13.2822477053
Belize 999.9455571848 993.1169799299 0.0145728176 6.8830200701
Benin 0.0000000000 987.4705545817 666.7163396221 3.2470839077
Bolivia (Plurinational State of) 996.7025116773 968.7817488871 2.2329897917 15.6091255564
Botswana 978.2194577036 684.5652395830 21.7805422964 166.9627947970
Burkina Faso 663.6620516973 488.5690500623 184.2897275381 124.0493398648
Burundi 973.4212801879 0.0000000000 4.7981775157 851.5280343801
Cambodia 960.4750271893 863.3305276697 39.5249728107 1.3717635478
Cameroon 706.6494331569 612.6183899272 141.3023460785 149.2078065990
Cape Verde 881.9924256752 863.3305276697 68.0812928797 0.9101542269
Central African Republic 568.2468541126 866.7436060207 399.2873230738 19.7573325203
Chad 0.0000000000 990.7176384894 666.7163396221 9.2823615106
Chile 0.0000000000 981.8581687275 485.7892946778 5.6123858542
Colombia 967.5341771865 917.1975089372 21.8612773904 48.8940879510
Congo 0.0000000000 970.0501100334 587.7360154299 11.8080586942
Costa Rica 840.1958942318 817.3095055792 7.7558850036 32.4567326131
Cuba 881.9924256752 864.2406818967 68.0812928797 0.9101542269
Côte d'Ivoire 623.4751074753 0.0000000000 40.1869442220 612.6183899272
Democratic Republic of the Congo 237.2177737459 619.4856361162 386.2573337294 166.1578976499
Denmark 845.9910160156 994.7116304874 97.3985856317 5.2883695126
Djibouti 997.7775080346 877.7633177026 1.7365325773 24.5319771966
Dominican Republic 641.1508163124 849.1178444802 184.7867842765 6.3503040984
Ecuador 917.0813441579 981.8581687275 79.6211675194 2.6752042776
Egypt 916.0330721151 865.1508361236 34.0406464398 0.7963849486
El Salvador 845.9910160156 988.6677796159 97.3985856317 6.0438508715
Equatorial Guinea 950.0737185549 863.3305276697 10.4013086344 1.8616791006
Eritrea 943.3896016473 991.6461195887 53.3129100300 8.3538804113
Ethiopia 568.2468541126 886.5009385410 399.2873230738 83.5491714923
Fiji 999.9455571848 924.5970923506 0.0186806027 60.3080991558
Gabon 967.5341771865 866.7436060207 14.5841672454 50.4539029165
Gambia 897.4327091885 862.4641176898 75.9885709994 0.8664099799
Georgia 997.7568350277 873.3554330299 1.7572055841 4.4078846728
Ghana 978.2194577036 0.0000000000 21.7805422964 684.5652395830
Guatemala 977.5331733497 866.0540952428 22.4668266503 0.6895107780
Guinea 641.1508163124 855.4681485786 184.7867842765 11.2754574421
Guinea-Bissau 943.3896016473 988.6677796159 53.3129100300 2.9783399727
Guyana 999.8229296905 906.5903491366 0.1770703095 9.1028865853
Haiti 683.0443553662 785.6435337662 142.8932452226 57.4304288655
Honduras 587.7360154299 974.4959766920 379.7981617566 7.3621920356
Indonesia 999.3320080347 962.4696550962 0.6135491501 6.3120937909
Iran (Islamic Republic of) 840.1958942318 849.7662381923 7.7558850036 16.9773678284
Ireland 998.9355014690 969.3262086830 1.0100557158 30.6737913170
Jamaica 485.7892946778 985.5782559029 360.2017213378 1.8922986788
Kazakhstan 847.9517792354 866.0041057113 68.0812928797 0.7395003094
Kenya 0.0000000000 492.7416110020 237.2177737459 292.9019227642
Kyrgyzstan 999.5140406119 906.5903491366 0.3088890787 12.5377685657
Lao People's Democratic Republic 999.9601300024 999.9611459241 0.0398699976 0.0388540759
Lebanon 987.5309709524 851.5280343801 12.4690290476 5.9012466448
Lesotho 982.1183444319 883.2075111830 14.5841672454 33.9899977543
Liberia 845.9910160156 981.8581687275 71.0903281423 6.8096108884
Madagascar 967.5341771865 966.0915968883 21.8612773904 15.7665718393
Malawi 0.0000000000 866.7436060207 568.2468541126 103.3065040126
Malaysia 996.7025116773 924.5970923506 2.6294963575 44.1846565365
Mali 0.0000000000 849.1178444802 641.1508163124 12.5095792154
Mauritania 835.2324760174 785.6435337662 12.7193032180 11.5702589317
Mauritius 960.4750271893 864.7022912175 39.5249728107 0.4899155528
Mexico 0.0000000000 785.6435337662 683.0443553662 63.4743107140
Morocco 897.4327091885 861.1390200736 75.9885709994 1.3250976163
Mozambique 623.4751074753 666.1649226007 83.1743256816 119.4786111655
Myanmar 989.3954545769 946.8778117918 7.3070571004 34.9803569357
Namibia 666.7163396221 987.4705545817 179.2746763935 5.4438280093
Nepal 999.9601300024 984.9051915064 0.0398699976 15.0559544177
Nicaragua 683.0443553662 843.0739626317 142.8932452226 6.0438818485
Niger 485.7892946778 981.8581687275 360.2017213378 3.7200871754
Nigeria 847.9517792354 0.0000000000 103.0415859287 861.1390200736
Norway 996.7025116773 877.7633177026 1.0749963574 46.8337746480
Oman 847.9517792354 861.1390200736 49.4809299531 2.1915075962
Pakistan 973.4212801879 851.5280343801 14.1096907644 6.0384849389
Panama 835.2324760174 797.2137926979 12.7193032180 20.0957128814
Papua New Guinea 987.5309709524 857.4292810249 12.4690290476 5.9012466448
Paraguay 989.3954545769 917.1975089372 7.3070571004 29.6803028546
Peru 385.5711664198 443.0914106797 237.9039410555 49.6502003223
Philippines 996.7025116773 866.7436060207 1.0543233505 11.0197116819
Republic of Moldova 916.0330721151 865.9472210722 34.0406464398 0.7963849486
